Bokföringsdatum;Valutadatum;Verifikationsnummer;Text;Belopp;Saldo
2026-04-25;2026-04-25;5829140037;LÖN;42500.000;58420.000
2026-04-25;2026-04-25;5829140038;BOSTADSRÄTTSFÖRENINGEN M;-9850.000;48570.000
2026-04-25;2026-04-25;5829140039;LÅN 47567289;-6420.500;42149.500
2026-04-26;2026-04-26;5829140040;ICA SUPERMAR/26-04-26;-742.500;41407.000
2026-04-26;2026-04-26;5829140041;SYSTEMBOLAGE/26-04-26;-389.000;41018.000
2026-04-27;2026-04-27;5829140042;SL          /26-04-27;-1090.000;39928.000
2026-04-27;2026-04-27;5829140043;HELP HBOMAX /26-04-27;-109.000;39819.000
2026-04-28;2026-04-28;5829140044;REVOLUT  629/26-04-28;-3000.000;36819.000
2026-04-28;2026-04-28;5829140045;STORA COOP V/26-04-28;-456.750;36362.250
2026-04-29;2026-04-29;5829140046;THAI RUNG   /26-04-29;-318.000;36044.250
2026-04-29;2026-04-29;5829140047;HEDVIG;-249.000;35795.250
2026-04-30;2026-04-30;5829140048;APPLE COM/BI/26-04-30;-29.000;35766.250
2026-05-02;2026-05-02;5829140049;KRONANS APOT/26-05-02;-188.750;35577.500
2026-05-02;2026-05-02;5829140050;ICA SUPERMAR/26-05-02;-612.000;34965.500
2026-05-03;2026-05-03;5829140051;AVANZA BANK;-5000.000;29965.500
2026-05-04;2026-05-04;5829140052;STORA COOP V/26-05-04;-374.250;29591.250
2026-05-05;2026-05-05;5829140053;SL          /26-05-05;-45.000;29546.250
2026-05-06;2026-05-06;5829140054;REVOLUT  629/26-05-06;-1500.000;28046.250
2026-05-07;2026-05-07;5829140055;ICA SUPERMAR/26-05-07;-528.500;27517.750
2026-05-08;2026-05-08;5829140056;SYSTEMBOLAGE/26-05-08;-275.000;27242.750
2026-05-09;2026-05-09;5829140057;THAI RUNG   /26-05-09;-412.000;26830.750
2026-05-10;2026-05-10;5829140058;KRONANS APOT/26-05-10;-94.500;26736.250
2026-05-12;2026-05-12;5829140059;STORA COOP V/26-05-12;-689.000;26047.250
2026-05-14;2026-05-14;5829140060;SL          /26-05-14;-45.000;26002.250
2026-05-16;2026-05-16;5829140061;ICA SUPERMAR/26-05-16;-803.250;25199.000
2026-05-18;2026-05-18;5829140062;APPLE COM/BI/26-05-18;-119.000;25080.000
2026-05-20;2026-05-20;5829140063;REVOLUT  629/26-05-20;-2000.000;23080.000
2026-05-22;2026-05-22;5829140064;SEB KORT BANK AB;-7840.000;15240.000
2026-05-24;2026-05-24;5829140065;ICA SUPERMAR/26-05-24;-466.000;14774.000
2026-05-26;2026-05-26;5829140066;STORA COOP V/26-05-26;-358.750;14415.250
